Endpoint,Timestamp,Latency,Status Code,Is Up,Error Message
https://www.example.com,2024-02-01 01:45:41.853900,50,400,False,Bad Request
https://api.example.com/comments,2024-02-01 04:51:16.082492,194,404,False,Not Found
https://api.example.com/posts,2024-02-01 07:02:30.773091,248,400,False,Bad Request
https://www.example.com,2024-02-01 10:28:20.129873,70,200,True,
https://api.example.com/users,2024-02-01 12:28:28.530287,136,404,False,Not Found
https://api.example.com/comments,2024-02-01 14:17:27.327190,239,500,False,Server Error
https://shop.example.com/products,2024-02-01 15:07:04.593811,93,400,False,Bad Request
https://api.example.com/users,2024-02-01 16:07:42.692738,125,500,False,Server Error
https://api.example.com/comments,2024-02-01 23:17:15.564672,161,500,False,Server Error
https://www.example.com,2024-02-02 00:36:06.358692,65,503,False,Service Unavailable
https://api.example.com/users,2024-02-02 05:03:36.390070,116,500,False,Server Error
https://www.example.com,2024-02-02 06:55:10.012816,177,400,False,Bad Request
https://api.example.com/users,2024-02-02 17:22:30.450986,138,200,True,
https://api.example.com/users,2024-02-03 09:15:06.487267,258,400,False,Bad Request
https://www.example.com,2024-02-03 09:39:09.386418,75,400,False,Bad Request
https://api.example.com/users,2024-02-03 10:56:00.538428,272,400,False,Bad Request
https://api.example.com/comments,2024-02-03 11:56:33.666150,247,500,False,Server Error
https://shop.example.com/products,2024-02-03 20:55:49.080292,113,500,False,Server Error
https://api.example.com/posts,2024-02-03 22:31:59.149935,287,400,False,Bad Request
https://shop.example.com/products,2024-02-04 02:36:54.832704,202,200,True,
https://shop.example.com/products,2024-02-04 05:16:20.038544,117,400,False,Bad Request
https://api.example.com/posts,2024-02-04 12:34:32.210856,63,400,False,Bad Request
https://api.example.com/users,2024-02-04 14:21:53.182636,76,404,False,Not Found
https://api.example.com/posts,2024-02-04 20:19:49.552695,297,500,False,Server Error
https://www.example.com,2024-02-04 21:59:08.122457,88,400,False,Bad Request
https://api.example.com/comments,2024-02-04 23:11:28.037983,215,400,False,Bad Request
https://shop.example.com/products,2024-02-05 00:01:56.723467,96,404,False,Not Found
